,accuracy,precision,recall,f1_score
Logistic Regression,0.9736842105263158,0.9722222222222222,0.9859154929577465,0.9790209790209791
Decision Tree,0.9385964912280702,0.9444444444444444,0.9577464788732394,0.951048951048951
SVM,0.9824561403508771,0.9726027397260274,1.0,0.9861111111111112
Random Forest,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
Ensemble,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
