,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703
Decision Tree,0.9122807017543859,0.9558823529411765,0.9027777777777778,0.9285714285714286,0.9156746031746031
SVM,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9950396825396826
Random Forest,0.956140350877193,0.958904109589041,0.9722222222222222,0.9655172413793104,0.9938822751322751
Ensemble,0.9736842105263158,0.9726027397260274,0.9861111111111112,0.9793103448275862,0.9953703703703705
